persona_uuid,model_id,ok,elapsed_sec,raw_json,resp_q1_admission_fee_support,resp_q2_alternative_first,resp_q3_oppose_even_with_exemption,resp_q4_willingness_to_pay,resp_q5_open_opinion
743b76d6-27e4-58f3-aa40-cfff583e94ac,openrouter/nousresearch/hermes-4-405b,True,14.07,"{
  ""q1_admission_fee_support"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",
    ""description"": 2
  },
  ""q2_alternative_first"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",
    ""description"": 4
  },
  ""q3_oppose_even_with_exemption"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",
    ""description"": 3
  },
  ""q4_willingness_to_pay"": {
    ""type"": ""string"",
    ""options"": [""무료여야 한다"", ""1,000원 미만"", ""1,000~3,000원"", ""3,000~5,000원"", ""5,000~10,000원"", ""10,000원 이상""],
    ""description"": ""1,000원 미만""
  },
  ""q5_open_opinion"": {
    ""type"": ""string"",
    ""max_length"": 200,
    ""min_length"": 50,
    ""description"": ""저는 이제 나이가 많아서 멀리 나가지도 않는데, 그래도 가끔은 젊은 사람들처럼 문화생활을 한번 해보고 싶어요. 그런데 돈을 내고 들어가려면 좀 부담스러워요. 그래도 나라를 대표하는 박물관이니까 더 좋은 전시를 위해서라면 조금이라도 내겠어요. 다만 어린이들과 힘든 사람들은 무조건 무료로 들어가게 해야 한다고 생각해요.""
  }
}",2.0,4.0,3.0,"1,000원 미만","저는 이제 나이가 많아서 멀리 나가지도 않는데, 그래도 가끔은 젊은 사람들처럼 문화생활을 한번 해보고 싶어요. 그런데 돈을 내고 들어가려면 좀 부담스러워요. 그래도 나라를 대표하는 박물관이니까 더 좋은 전시를 위해서라면 조금이라도 내겠어요. 다만 어린이들과 힘든 사람들은 무조건 무료로 들어가게 해야 한다고 생각해요."
20a9455f-8160-5c8d-9ef9-880d733787f7,openrouter/nousresearch/hermes-4-405b,True,10.87,"{
  ""q1_admission_fee_support"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",
    ""description"": ""상설 전시 입장료 도입에 대한 전반적 찬반 정도""
  },
  ""q2_alternative_first"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",
    ""description"": ""유료화 전 대안적 재원 조달 방식 우선 시도에 대한 동의 정도""
  },
  ""q3_oppose_even_with_exemption"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",
    ""description"": ""취약계층 면제 조건 부여 시 유료화 반대 완화 정도""
  },
  ""q4_willingness_to_pay"": {
    ""type"": ""string"",
    ""options"": [""무료여야 한다"", ""1,000원 미만"", ""1,000~3,000원"", ""3,000~5,000원"", ""5,000~10,000원"", ""10,000원 이상""],
    ""description"": ""전시 품질 향상 목적 전제 시 지불 의향 금액 구간""
  },
  ""q5_open_opinion"": {
    ""type"": ""string"",
    ""max_length"": 200,
    ""min_length"": 50,
    ""description"": ""유료화에 대한 본인 입장을 담은 자유 서술 (50~200자)""
  }
}",,,,,유료화에 대한 본인 입장을 담은 자유 서술 (50~200자)
6d603638-26ff-5a5c-871b-dc28c7830c19,openrouter/nousresearch/hermes-4-405b,True,10.77,"{""q1_admission_fee_support"":{""type"":""integer"",""scale"":""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",""description"":2},""q2_alternative_first"":{""type"":""integer"",""scale"":""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",""description"":5},""q3_oppose_even_with_exemption"":{""type"":""integer"",""scale"":""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",""description"":3},""q4_willingness_to_pay"":{""type"":""string"",""options"":[""무료여야 한다"",""1,000원 미만"",""1,000~3,000원"",""3,000~5,000원"",""5,000~10,000원"",""10,000원 이상""],""description"":""1,000~3,000원""},""q5_open_opinion"":{""type"":""string"",""max_length"":200,""min_length"":50,""description"":""부산에서 올라가려면 차비도 드는 판국에, 입장료까지 내면 서민들 가기 더 어려워질 것 같아요. 정부에서 제대로 지원해 주는 게 원칙 아닌가요? 특별전 같은 건 유료로 해도 괜찮지만 기본 전시는 계속 무료로 두는 게 맞다고 생각합니다.""}}",2.0,5.0,3.0,"1,000~3,000원","부산에서 올라가려면 차비도 드는 판국에, 입장료까지 내면 서민들 가기 더 어려워질 것 같아요. 정부에서 제대로 지원해 주는 게 원칙 아닌가요? 특별전 같은 건 유료로 해도 괜찮지만 기본 전시는 계속 무료로 두는 게 맞다고 생각합니다."
7f8ac4a2-504f-5c6b-9952-28b554b2f4a2,openrouter/nousresearch/hermes-4-405b,True,10.85,"{
  ""q1_admission_fee_support"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",
    ""description"": 1
  },
  ""q2_alternative_first"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",
    ""description"": 5
  },
  ""q3_oppose_even_with_exemption"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",
    ""description"": 2
  },
  ""q4_willingness_to_pay"": {
    ""type"": ""string"",
    ""options"": [""무료여야 한다"", ""1,000원 미만"", ""1,000~3,000원"", ""3,000~5,000원"", ""5,000~10,000원"", ""10,000원 이상""],
    ""description"": ""무료여야 한다""
  },
  ""q5_open_opinion"": {
    ""type"": ""string"",
    ""max_length"": 200,
    ""min_length"": 50,
    ""description"": ""내가 어릴 적에는 그런 문화 시설을 가볼 기회도, 돈도 없었는데, 요즘은 어린이들과 학생들이 싼 값에 좋은 곳을 다닐 수 있게 해줘야 하는 거 아닌가? 국가에서 세금을 내고 운영하는 곳이면 돈을 더 받으려는 게 옳지 않아 보인다. 다른 방법을 찾아야지.""
  }
}",1.0,5.0,2.0,무료여야 한다,"내가 어릴 적에는 그런 문화 시설을 가볼 기회도, 돈도 없었는데, 요즘은 어린이들과 학생들이 싼 값에 좋은 곳을 다닐 수 있게 해줘야 하는 거 아닌가? 국가에서 세금을 내고 운영하는 곳이면 돈을 더 받으려는 게 옳지 않아 보인다. 다른 방법을 찾아야지."
9e3db524-7022-5f2c-8c65-e3834ec14417,openrouter/nousresearch/hermes-4-405b,True,10.91,"{""q1_admission_fee_support"":{""type"":""integer"",""scale"":""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",""description"":2},""q2_alternative_first"":{""type"":""integer"",""scale"":""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",""description"":4},""q3_oppose_even_with_exemption"":{""type"":""integer"",""scale"":""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",""description"":3},""q4_willingness_to_pay"":{""type"":""string"",""options"":[""무료여야 한다"",""1,000원 미만"",""1,000~3,000원"",""3,000~5,000원"",""5,000~10,000원"",""10,000원 이상""],""description"":""1,000~3,000원""},""q5_open_opinion"":{""type"":""string"",""max_length"":200,""min_length"":50,""description"":""저희 제주도에서도 관광지 입장료가 오르면서 사람들이 힘들어하는 걸 많이 봐서, 전국민이 이용하는 박물관까지 돈을 받는 건 좀 아닌 것 같아요. 특별전이나 기부 같은 다른 방법을 더 생각해 보고, 그래도 부족하면 1~2천 원 정도만 받는 게 어떨까요. 그래도 아이들이랑 학생들은 꼭 무료로 들어갈 수 있게 해야 할 것 같아요.""}}",2.0,4.0,3.0,"1,000~3,000원","저희 제주도에서도 관광지 입장료가 오르면서 사람들이 힘들어하는 걸 많이 봐서, 전국민이 이용하는 박물관까지 돈을 받는 건 좀 아닌 것 같아요. 특별전이나 기부 같은 다른 방법을 더 생각해 보고, 그래도 부족하면 1~2천 원 정도만 받는 게 어떨까요. 그래도 아이들이랑 학생들은 꼭 무료로 들어갈 수 있게 해야 할 것 같아요."
66dd0794-b733-5e56-97f2-ff6b6c099f63,openrouter/nousresearch/hermes-4-405b,True,10.08,"{
  ""q1_admission_fee_support"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",
    ""description"": 4
  },
  ""q2_alternative_first"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",
    ""description"": 5
  },
  ""q3_oppose_even_with_exemption"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",
    ""description"": 3
  },
  ""q4_willingness_to_pay"": {
    ""type"": ""string"",
    ""options"": [""무료여야 한다"", ""1,000원 미만"", ""1,000~3,000원"", ""3,000~5,000원"", ""5,000~10,000원"", ""10,000원 이상""],
    ""description"": ""1,000~3,000원""
  },
  ""q5_open_opinion"": {
    ""type"": ""string"",
    ""max_length"": 200,
    ""min_length"": 50,
    ""description"": ""국립중앙박물관 유료화는 어쩔 수 없는 선택이지만, 대신 더 많은 사람이 문화를 누릴 수 있도록 취약계층 지원을 확대해야 합니다. 또한 유료화 수익금이 실제 전시 개선에 쓰여야 합니다.""
  }
}",4.0,5.0,3.0,"1,000~3,000원","국립중앙박물관 유료화는 어쩔 수 없는 선택이지만, 대신 더 많은 사람이 문화를 누릴 수 있도록 취약계층 지원을 확대해야 합니다. 또한 유료화 수익금이 실제 전시 개선에 쓰여야 합니다."
2a0a31e4-c3f7-502e-a30d-5752ff956e2e,openrouter/nousresearch/hermes-4-405b,True,10.36,"{
  ""q1_admission_fee_support"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",
    ""description"": 2
  },
  ""q2_alternative_first"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",
    ""description"": 4
  },
  ""q3_oppose_even_with_exemption"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",
    ""description"": 3
  },
  ""q4_willingness_to_pay"": {
    ""type"": ""string"",
    ""options"": [""무료여야 한다"", ""1,000원 미만"", ""1,000~3,000원"", ""3,000~5,000원"", ""5,000~10,000원"", ""10,000원 이상""],
    ""description"": ""1,000~3,000원""
  },
  ""q5_open_opinion"": {
    ""type"": ""string"",
    ""max_length"": 200,
    ""min_length"": 50,
    ""description"": ""국립박물관은 국민 세금으로 운영되는 곳이니 기본 전시는 무료가 맞다고 생각합니다. 특전 같은 것만 유료로 하고, 기업 후원 같은 대안을 더 찾아봐야죠. 꼭 필요하다면 1~2천 원 정도는 낼 수 있지만, 무턱대고 유료화는 반대합니다.""
  }
}",2.0,4.0,3.0,"1,000~3,000원","국립박물관은 국민 세금으로 운영되는 곳이니 기본 전시는 무료가 맞다고 생각합니다. 특전 같은 것만 유료로 하고, 기업 후원 같은 대안을 더 찾아봐야죠. 꼭 필요하다면 1~2천 원 정도는 낼 수 있지만, 무턱대고 유료화는 반대합니다."
3b635e28-88d2-517f-a782-f25d572cab38,openrouter/nousresearch/hermes-4-405b,True,10.78,"{""q1_admission_fee_support"":{""type"":""integer"",""scale"":""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",""description"":2},""q2_alternative_first"":{""type"":""integer"",""scale"":""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",""description"":4},""q3_oppose_even_with_exemption"":{""type"":""integer"",""scale"":""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",""description"":2},""q4_willingness_to_pay"":{""type"":""string"",""options"":[""무료여야 한다"",""1,000원 미만"",""1,000~3,000원"",""3,000~5,000원"",""5,000~10,000원"",""10,000원 이상""],""description"":""1,000~3,000원""},""q5_open_opinion"":{""type"":""string"",""max_length"":200,""min_length"":50,""description"":""일단 기본 전시료는 무료가 좋다고 봐요. 애초에 국립이라는 이름 달고 운영하는 거면 국가가 책임지고 재정 지원을 해줘야지, 국민들이 돈 내고 보는 건 좀 아닌 거 같아요. 특별전 같은 건 유로화 해도 되지만 상설 전시는 무조건 무료로 가야 한다고 생각합니다.""}}",2.0,4.0,2.0,"1,000~3,000원","일단 기본 전시료는 무료가 좋다고 봐요. 애초에 국립이라는 이름 달고 운영하는 거면 국가가 책임지고 재정 지원을 해줘야지, 국민들이 돈 내고 보는 건 좀 아닌 거 같아요. 특별전 같은 건 유로화 해도 되지만 상설 전시는 무조건 무료로 가야 한다고 생각합니다."
fd9b568b-6c94-5391-8bb8-d8e77472c0e5,openrouter/nousresearch/hermes-4-405b,True,11.22,"{
  ""q1_admission_fee_support"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",
    ""description"": 2
  },
  ""q2_alternative_first"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",
    ""description"": 4
  },
  ""q3_oppose_even_with_exemption"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",
    ""description"": 3
  },
  ""q4_willingness_to_pay"": {
    ""type"": ""string"",
    ""options"": [""무료여야 한다"", ""1,000원 미만"", ""1,000~3,000원"", ""3,000~5,000원"", ""5,000~10,000원"", ""10,000원 이상""],
    ""description"": ""1,000~3,000원""
  },
  ""q5_open_opinion"": {
    ""type"": ""string"",
    ""max_length"": 200,
    ""min_length"": 50,
    ""description"": ""공공 문화시설은 국민 모두가 평등하게 누려야 한다고 생각합니다. 입장료를 받기보다는 기업 후원이나 기부금 모금 같은 다른 방법을 먼저 찾아보고, 그래도 부족하면 아주 저렴한 가격으로 받아야 합니다. 어린이와 학생, 노약자들은 반드시 무료로 입장하게 해야 합니다.""
  }
}",2.0,4.0,3.0,"1,000~3,000원","공공 문화시설은 국민 모두가 평등하게 누려야 한다고 생각합니다. 입장료를 받기보다는 기업 후원이나 기부금 모금 같은 다른 방법을 먼저 찾아보고, 그래도 부족하면 아주 저렴한 가격으로 받아야 합니다. 어린이와 학생, 노약자들은 반드시 무료로 입장하게 해야 합니다."
e911813a-da16-5d9d-a13d-1cd625cd1bba,openrouter/nousresearch/hermes-4-405b,True,10.31,"{
  ""q1_admission_fee_support"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=매우 반대, 3=중립, 5=매우 찬성)"",
    ""description"": 2
  },
  ""q2_alternative_first"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=전혀 그렇지 않다, 3=보통, 5=매우 그렇다)"",
    ""description"": 4
  },
  ""q3_oppose_even_with_exemption"": {
    ""type"": ""integer"",
    ""scale"": ""1~5 Likert (1=여전히 강하게 반대, 3=중립, 5=조건부 찬성으로 입장 변화)"",
    ""description"": 2
  },
  ""q4_willingness_to_pay"": {
    ""type"": ""string"",
    ""options"": [""무료여야 한다"", ""1,000원 미만"", ""1,000~3,000원"", ""3,000~5,000원"", ""5,000~10,000원"", ""10,000원 이상""],
    ""description"": ""1,000~3,000원""
  },
  ""q5_open_opinion"": {
    ""type"": ""string"",
    ""max_length"": 200,
    ""min_length"": 50,
    ""description"": ""제가 일하는 식당도 소박하지만 정성을 담으니 사람들이 찾아주듯, 박물관도 돈이 문제라기보다는 어떻게 접근하기 쉽게 만드냐가 중요할 것 같아요. 정부가 지원하는 문화 공간인데 굳이 돈을 내야만 들어갈 수 있다면 마음이 좀 무거워질 것 같네요.""
  }
}",2.0,4.0,2.0,"1,000~3,000원","제가 일하는 식당도 소박하지만 정성을 담으니 사람들이 찾아주듯, 박물관도 돈이 문제라기보다는 어떻게 접근하기 쉽게 만드냐가 중요할 것 같아요. 정부가 지원하는 문화 공간인데 굳이 돈을 내야만 들어갈 수 있다면 마음이 좀 무거워질 것 같네요."
